YCR097W	YCR040W	YPR199C	YJL056C	YHR006W	YCL066W	YKL109W	YDL170W	YLR013W	YGR044C	YOR032C	YCR018C	YLR098C	YOR140W	YJL110C	YDR146C	YKR034W	YGL162W	YMR070W	YHL027W	YLR131C	YGL035C	YDR123C	YOR344C	YER045C	YJL166W	YNL253W	YDR275W	YKL141W	YMR086CA	YPL026C	YHR111W	YHR145C	YIR006C	YDR129C	YOL042W	YDR210WD	YEL001C	YFL022C	YER177W	YMR136W	YIL099W	YOL157C	YNL254C	YGR073C	YGR019W	YPL251W	YPL078C	YLR463C	YFR017C
0.0000023	0.8162199	1.0000000	1.0000000	0.0333200	0.1400222	0.9308299	1.0000000	0.5072813	0.5481411	1.0000000	0.1432428	1.0000000	0.0429870	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.2572299	0.8117728	0.9999999	0.3463286	0.1001643	0.1176454	0.5156072	0.1429260	0.8899953
1.0000000	0.0000043	1.0000000	1.0000000	0.0333200	0.5870010	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4003000	0.0000080	1.0000000	0.0333200	0.5870010	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.0751070	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.1097560	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.1232443	1.0000000	0.0000000	0.0333200	0.1400681	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.9999996	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.4187629	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.2571934	0.8117728	0.0113276	0.3463286	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4002858	1.0000000	1.0000000	0.0000040	0.5870010	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486045	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463285	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4002860	1.0000000	1.0000000	0.0333200	0.0000052	0.9308299	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.2646038	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.1429260	0.7376405
1.0000000	0.4052173	1.0000000	1.0000000	0.0333200	0.8220063	0.0000033	1.0000000	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.9999938	0.2994184	0.4526840	0.9999976	0.9564169	0.2686405	0.0227816	0.3645532	0.9673341	0.5032512	0.9999430	0.6849314	0.5439262	0.5564470	0.1671720	0.5166425	0.1492633	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.2576704	0.7376405
1.0000000	0.4052150	1.0000000	1.0000000	0.0333200	0.5870010	0.9308299	0.0000003	0.5072813	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.0255525	0.9999430	0.1097650	0.9486046	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463286	0.6149313	0.4557361	0.5156072	0.6671092	0.7376405
1.0000000	0.5315242	1.0000000	1.0000000	0.0333200	0.8246244	0.9308299	1.0000000	0.0000004	0.2195715	1.0000000	0.3886993	1.0000000	0.3219247	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486046	0.5564470	0.1671720	0.5166425	0.1488891	0.8117728	0.9999999	0.3463286	0.1001643	0.1075243	0.5156072	0.6669542	0.7376405
1.0000000	0.4002860	1.0000000	1.0000000	0.0333200	0.5870010	0.9308299	1.0000000	0.5072813	0.0000000	1.0000000	0.5366206	1.0000000	0.3583405	0.9978678	0.6957028	0.0397557	1.0000000	0.9584707	0.6170724	1.0000000	1.0000000	1.0000000	1.0000000	0.9624545	0.2648882	0.2994184	0.4526840	0.0700017	0.9564169	0.2686405	0.6283357	0.0284857	0.9673341	0.5032512	0.9999430	0.6849314	0.9486045	0.5564470	0.1671720	0.5166425	0.1872219	0.8117728	0.9999999	0.3463284	0.1001643	0.1071019	0.5156072	0.1429260	0.4429440
